['a1', 'e2', 'c3', 'B', 9, 'N']
['a1', 'e2', 'c4', 'B', 11, 'N']
['a1', 'e2', 'c5', 'B', 11, 'N']
['a1', 'e2', 'd1', 'B', 13, 'N']
['a1', 'e2', 'd2', 'B', 'Nex', 'C']
['a1', 'e2', 'd3', 'B', 11, 'N']
['a1', 'e2', 'd4', 'B', 9, 'N']
['a1', 'e2', 'd5', 'B', 9, 'N']
['a1', 'e2', 'e1', 'B', 'Nex', 'C']
['a1', 'e2', 'e3', 'B', 'Nex', 'C']
['a1', 'e2', 'e4', 'B', 'Nex', 'C']
['a1', 'e2', 'e5', 'B', 'Nex', 'C']
['a1', 'e3', 'X', 'B', 'R', 'N']
['a1', 'e3', 'a2', 'B', 13, 'N']
['a1', 'e3', 'a3', 'B', 'Nex', 'C']
['a1', 'e3', 'a4', 'B', 11, 'N']
['a1', 'e3', 'a5', 'B', 13, 'N']
['a1', 'e3', 'b1', 'B', 13, 'N']
['a1', 'e3', 'b2', 'B', 13, 'N']
['a1', 'e3', 'b3', 'B', 'Nex', 'C']
['a1', 'e3', 'b4', 'B', 11, 'N']
['a1', 'e3', 'b5', 'B', 13, 'N']
['a1', 'e3', 'c1', 'B', 13, 'N']
['a1', 'e3', 'c2', 'B', 13, 'N']
['a1', 'e3', 'c3', 'B', 'Nex', 'C']
['a1', 'e3', 'c4', 'B', 11, 'N']
['a1', 'e3', 'c5', 'B', 15, 'N']
['a1', 'e3', 'd1', 'B', 11, 'N']
['a1', 'e3', 'd2', 'B', 15, 'N']
['a1', 'e3', 'd3', 'B', 'Nex', 'C']
['a1', 'e3', 'd4', 'B', 13, 'N']
['a1', 'e3', 'd5', 'B', 11, 'N']
['a1', 'e3', 'e1', 'B', 'Nex', 'C']
['a1', 'e3', 'e2', 'B', 'Nex', 'C']
['a1', 'e3', 'e4', 'B', 'Nex', 'C']
['a1', 'e3', 'e5', 'B', 'Nex', 'C']
['a1', 'e4', 'X', 'B', 'R', 'N']
['a1', 'e4', 'a2', 'B', 13, 'N']
['a1', 'e4', 'a3', 'B', 13, 'N']
['a1', 'e4', 'a4', 'B', 'Nex', 'C']
['a1', 'e4', 'a5', 'B', 13, 'N']
['a1', 'e4', 'b1', 'B', 13, 'N']
['a1', 'e4', 'b2', 'B', 13, 'N']
['a1', 'e4', 'b3', 'B', 13, 'N']
['a1', 'e4', 'b4', 'B', 'Nex', 'C']
['a1', 'e4', 'b5', 'B', 13, 'N']
['a1', 'e4', 'c1', 'B', 13, 'N']
['a1', 'e4', 'c2', 'B', 13, 'N']
['a1', 'e4', 'c3', 'B', 13, 'N']
['a1', 'e4', 'c4', 'B', 'Nex', 'C']
['a1', 'e4', 'c5', 'B', 15, 'N']
['a1', 'e4', 'd1', 'B', 9, 'N']
['a1', 'e4', 'd2', 'B', 9, 'N']
['a1', 'e4', 'd3', 'B', 13, 'N']
['a1', 'e4', 'd4', 'B', 'Nex', 'C']
['a1', 'e4', 'd5', 'B', 13, 'N']
['a1', 'e4', 'e1', 'B', 'Nex', 'C']
['a1', 'e4', 'e2', 'B', 'Nex', 'C']
['a1', 'e4', 'e3', 'B', 'Nex', 'C']
['a1', 'e4', 'e5', 'B', 'Nex', 'C']
['a1', 'e5', 'X', 'B', 'R', 'N']
['a1', 'e5', 'a2', 'B', 11, 'N']
['a1', 'e5', 'a3', 'B', 11, 'N']
['a1', 'e5', 'a4', 'B', 7, 'N']
['a1', 'e5', 'a5', 'B', 'Nex', 'C']
['a1', 'e5', 'b1', 'B', 11, 'N']
['a1', 'e5', 'b2', 'B', 11, 'N']
['a1', 'e5', 'b3', 'B', 11, 'N']
['a1', 'e5', 'b4', 'B', 9, 'N']
['a1', 'e5', 'b5', 'B', 'Nex', 'C']
['a1', 'e5', 'c1', 'B', 11, 'N']
['a1', 'e5', 'c2', 'B', 11, 'N']
['a1', 'e5', 'c3', 'B', 13, 'N']
['a1', 'e5', 'c4', 'B', 9, 'N']
['a1', 'e5', 'c5', 'B', 'Nex', 'C']
['a1', 'e5', 'd1', 'B', 7, 'N']
['a1', 'e5', 'd2', 'B', 9, 'N']
['a1', 'e5', 'd3', 'B', 9, 'N']
['a1', 'e5', 'd4', 'B', 11, 'N']
['a1', 'e5', 'd5', 'B', 'Nex', 'C']
['a1', 'e5', 'e1', 'B', 'Nex', 'C']
['a1', 'e5', 'e2', 'B', 'Nex', 'C']
['a1', 'e5', 'e3', 'B', 'Nex', 'C']
['a1', 'e5', 'e4', 'B', 'Nex', 'C']
['a2', 'a4', 'X', 'B', 'R', 'N']
['a2', 'a4', 'a1', 'B', 7, 'N']
['a2', 'a4', 'a3', 'B', 'Nex', 'C']
['a2', 'a4', 'a5', 'B', 'Nex', 'C']
['a2', 'a4', 'b1', 'B', 7, 'N']
['a2', 'a4', 'b2', 'B', 7, 'N']
['a2', 'a4', 'b3', 'B', 7, 'N']
['a2', 'a4', 'b4', 'B', 'Nex', 'C']
['a2', 'a4', 'b5', 'B', 7, 'N']
['a2', 'a4', 'c1', 'B', 7, 'N']
['a2', 'a4', 'c2', 'B', 7, 'N']
['a2', 'a4', 'c3', 'B', 7, 'N']
['a2', 'a4', 'c4', 'B', 'Nex', 'C']
['a2', 'a4', 'c5', 'B', 7, 'N']
['a2', 'a4', 'd1', 'B', 7, 'N']
